TripTime,StartStation,EndStation
26.29,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
26.24,Jefferson Dr & 14th St SW,Jefferson Memorial
27.28,Jefferson Dr & 14th St SW,Jefferson Memorial
27.26,Jefferson Dr & 14th St SW,Jefferson Memorial
20.75,Lincoln Memorial,Jefferson Memorial
21.34,Lincoln Memorial,Jefferson Memorial
124.9,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
126.69,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
10.43,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
10.32,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
16.76,Lincoln Memorial,14th & Rhode Island Ave NW
7.02,Lincoln Memorial,20th & E St NW
20.47,Jefferson Dr & 14th St SW,15th & W St NW
29.58,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW
27.31,Jefferson Dr & 14th St SW,20th & Crystal Dr
39.79,Lincoln Memorial,15th & P St NW
39.75,Lincoln Memorial,15th & P St NW
20.1,Lincoln Memorial,Rosslyn Metro / Wilson Blvd & Ft Myer Dr
20.45,Lincoln Memorial,Rosslyn Metro / Wilson Blvd & Ft Myer Dr
61.09,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
61.34,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
24.58,Jefferson Dr & 14th St SW,4th & East Capitol St NE
64.37,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
64.91,Jefferson Dr & 14th St SW,14th & D St NW / Ronald Reagan Building
26.57,Jefferson Dr & 14th St SW,4th & East Capitol St NE
26.86,Jefferson Dr & 14th St SW,4th & East Capitol St NE
11.93,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
55.07,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
55.85,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
55.56,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
56.44,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
6.4,Jefferson Dr & 14th St SW,6th St & Indiana Ave NW
